,Vegetable_Name,year,month,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
324,Colocasia Leaves,2022,2,12.142857142857142,14.785714285714286,17.267857142857142
325,Colocasia Leaves,2022,3,12.35483870967742,15.080645161290322,17.629032258064516
326,Colocasia Leaves,2022,4,13.133333333333333,15.95,18.783333333333335
327,Colocasia Leaves,2022,5,13.129032258064516,15.903225806451612,18.693548387096776
328,Colocasia Leaves,2022,6,13.3,16.2,19.016666666666666
329,Colocasia Leaves,2022,7,12.258064516129032,14.951612903225806,17.5
330,Colocasia Leaves,2022,8,13.096774193548388,15.935483870967742,18.693548387096776
331,Colocasia Leaves,2022,9,11.866666666666667,14.533333333333333,16.966666666666665
332,Colocasia Leaves,2022,10,14.161290322580646,17.112903225806452,20.193548387096776
333,Colocasia Leaves,2022,11,11.866666666666667,14.583333333333334,17.016666666666666
334,Colocasia Leaves,2022,12,13.258064516129032,16.096774193548388,18.93548387096774
335,Colocasia Leaves,2023,1,12.838709677419354,15.629032258064516,18.29032258064516
336,Colocasia Leaves,2023,2,12.964285714285714,15.714285714285714,18.446428571428573
337,Colocasia Leaves,2023,3,13.193548387096774,15.935483870967742,18.70967741935484
338,Colocasia Leaves,2023,4,13.433333333333334,16.283333333333335,19.083333333333332
339,Colocasia Leaves,2023,5,12.5,15.3,17.95
340,Coriander Leaves,2022,1,9.0,10.833333333333334,12.833333333333334
341,Coriander Leaves,2022,2,9.571428571428571,11.607142857142858,13.589285714285714
342,Coriander Leaves,2022,3,9.161290322580646,11.080645161290322,13.129032258064516
343,Coriander Leaves,2022,4,10.2,12.466666666666667,14.466666666666667
344,Coriander Leaves,2022,5,10.451612903225806,12.629032258064516,14.903225806451612
345,Coriander Leaves,2022,6,9.6,11.6,13.7
346,Coriander Leaves,2022,7,10.03225806451613,12.209677419354838,14.419354838709678
347,Coriander Leaves,2022,8,9.838709677419354,11.887096774193548,14.064516129032258
348,Coriander Leaves,2022,9,9.7,11.7,13.816666666666666
349,Coriander Leaves,2022,10,9.903225806451612,12.080645161290322,14.193548387096774
350,Coriander Leaves,2022,11,8.9,10.7,12.733333333333333
351,Coriander Leaves,2022,12,9.35483870967742,11.403225806451612,13.306451612903226
352,Coriander Leaves,2023,1,6.129032258064516,7.532258064516129,8.693548387096774
353,Coriander Leaves,2023,2,6.0,7.303571428571429,8.5
354,Coriander Leaves,2023,3,6.129032258064516,7.467741935483871,8.693548387096774
355,Coriander Leaves,2023,4,6.666666666666667,7.95,9.5
356,Coriander Leaves,2023,5,8.4,10.3,12.1
357,Corn,2022,1,33.0,40.0,47.0
358,Corn,2022,2,33.142857142857146,40.05357142857143,47.267857142857146
359,Corn,2022,3,28.322580645161292,34.32258064516129,40.435483870967744
360,Corn,2022,4,26.366666666666667,31.883333333333333,37.61666666666667
361,Corn,2022,5,24.903225806451612,30.096774193548388,35.5
362,Corn,2022,6,23.733333333333334,28.6,33.78333333333333
363,Corn,2022,7,24.806451612903224,29.983870967741936,35.33870967741935
364,Corn,2022,8,24.451612903225808,29.532258064516128,34.903225806451616
365,Corn,2022,9,24.133333333333333,29.15,34.31666666666667
366,Corn,2022,10,24.129032258064516,29.177419354838708,34.24193548387097
367,Corn,2022,11,24.4,29.416666666666668,34.75
368,Corn,2022,12,25.70967741935484,31.080645161290324,36.62903225806452
369,Corn,2023,1,28.903225806451612,35.03225806451613,41.354838709677416
370,Corn,2023,2,28.464285714285715,34.517857142857146,40.69642857142857
371,Corn,2023,3,26.225806451612904,31.693548387096776,37.41935483870968
372,Corn,2023,4,27.133333333333333,32.766666666666666,38.733333333333334
373,Corn,2023,5,26.4,32.1,37.65
374,Cucumber,2022,1,13.0,15.833333333333334,18.5
375,Cucumber,2022,2,15.035714285714286,18.035714285714285,21.375
376,Cucumber,2022,3,13.903225806451612,16.806451612903224,19.758064516129032
377,Cucumber,2022,4,14.1,17.0,20.15
378,Cucumber,2022,5,14.32258064516129,17.338709677419356,20.306451612903224
379,Cucumber,2022,6,16.433333333333334,19.866666666666667,23.3
380,Cucumber,2022,7,19.387096774193548,23.467741935483872,27.693548387096776
381,Cucumber,2022,8,23.967741935483872,28.903225806451612,34.20967741935484
382,Cucumber,2022,9,22.766666666666666,27.55,32.45
383,Cucumber,2022,10,23.29032258064516,28.14516129032258,33.16129032258065
384,Cucumber,2022,11,22.166666666666668,26.7,31.666666666666668
385,Cucumber,2022,12,22.0,26.677419354838708,31.451612903225808
386,Cucumber,2023,1,24.387096774193548,29.467741935483872,34.82258064516129
387,Cucumber,2023,2,22.107142857142858,26.75,31.553571428571427
388,Cucumber,2023,3,24.451612903225808,29.483870967741936,34.91935483870968
389,Cucumber,2023,4,28.566666666666666,34.63333333333333,40.85
390,Cucumber,2023,5,31.6,38.5,44.95
391,Curry Leaves,2022,1,36.0,43.5,51.166666666666664
392,Curry Leaves,2022,2,39.964285714285715,48.375,56.839285714285715
393,Curry Leaves,2022,3,38.67741935483871,46.87096774193548,55.12903225806452
394,Curry Leaves,2022,4,39.1,47.35,55.56666666666667
395,Curry Leaves,2022,5,41.38709677419355,50.0,58.95161290322581
396,Curry Leaves,2022,6,34.233333333333334,41.416666666666664,48.75
397,Curry Leaves,2022,7,28.0,34.0,39.91935483870968
398,Curry Leaves,2022,8,26.06451612903226,31.64516129032258,37.096774193548384
399,Curry Leaves,2022,9,26.966666666666665,32.75,38.45
400,Curry Leaves,2022,10,27.161290322580644,32.91935483870968,38.74193548387097
401,Curry Leaves,2022,11,28.1,34.11666666666667,40.15
402,Curry Leaves,2022,12,27.193548387096776,32.96774193548387,38.79032258064516
403,Curry Leaves,2023,1,27.741935483870968,33.67741935483871,39.61290322580645
404,Curry Leaves,2023,2,27.75,33.57142857142857,39.625
405,Curry Leaves,2023,3,27.903225806451612,33.774193548387096,39.854838709677416
406,Curry Leaves,2023,4,26.666666666666668,32.46666666666667,38.0
407,Curry Leaves,2023,5,28.0,33.9,40.0
408,Dill Leaves,2022,1,14.0,17.0,20.0
409,Dill Leaves,2022,2,15.892857142857142,19.267857142857142,22.732142857142858
410,Dill Leaves,2022,3,14.903225806451612,18.258064516129032,21.370967741935484
411,Dill Leaves,2022,4,12.866666666666667,15.766666666666667,18.3
412,Dill Leaves,2022,5,12.903225806451612,15.693548387096774,18.35483870967742
413,Dill Leaves,2022,6,12.9,15.683333333333334,18.3
414,Dill Leaves,2022,7,11.419354838709678,14.0,16.258064516129032
415,Dill Leaves,2022,8,10.548387096774194,12.67741935483871,15.112903225806452
416,Dill Leaves,2022,9,12.333333333333334,15.066666666666666,17.65
417,Dill Leaves,2022,10,11.290322580645162,13.580645161290322,16.14516129032258
418,Dill Leaves,2022,11,12.433333333333334,15.0,17.816666666666666
419,Dill Leaves,2022,12,11.806451612903226,14.403225806451612,16.838709677419356
420,Dill Leaves,2023,1,12.096774193548388,14.806451612903226,17.193548387096776
421,Dill Leaves,2023,2,12.607142857142858,15.428571428571429,17.982142857142858
